Script Name,Procedure/Function Name,Description,Review Item,Details,Status (Pass/Fail/NA),Reviewer Notes,Approve for Production (Yes/No)
validations.sql,create_people_clean_copy,Creates a clean copy of people table,"Naming Conventions","Are names clear, consistent, and meaningful?",,,
validations.sql,create_people_clean_copy,Creates a clean copy of people table,"Error Handling","Does the procedure have proper exception handling?",,,
validations.sql,create_people_clean_copy,Creates a clean copy of people table,"Documentation","Are there sufficient comments explaining complex logic?",,,
validations.sql,create_people_clean_copy,Creates a clean copy of people table,"Performance","Are queries optimized for performance?",,,
validations.sql,create_people_clean_copy,Creates a clean copy of people table,"Security","Is the code free from SQL injection risks?",,,
validations.sql,clean_name_spaces,Removes extra spaces in name fields,"Naming Conventions","Are names clear, consistent, and meaningful?",,,
validations.sql,clean_name_spaces,Removes extra spaces in name fields,"Error Handling","Does the procedure have proper exception handling?",,,
validations.sql,clean_name_spaces,Removes extra spaces in name fields,"Documentation","Are there sufficient comments explaining complex logic?",,,
validations.sql,clean_name_spaces,Removes extra spaces in name fields,"Performance","Is there correct use of bulk operations where applicable?",,,
validations.sql,clean_name_spaces,Removes extra spaces in name fields,"Code Quality","Is the code DRY (Don't Repeat Yourself)?",,,
validations.sql,clean_numeric_suffixes,Standardizes numeric suffixes,"Naming Conventions","Are names clear, consistent, and meaningful?",,,
validations.sql,clean_numeric_suffixes,Standardizes numeric suffixes,"Error Handling","Does the procedure have proper exception handling?",,,
validations.sql,clean_numeric_suffixes,Standardizes numeric suffixes,"Documentation","Are there sufficient comments explaining complex logic?",,,
validations.sql,clean_numeric_suffixes,Standardizes numeric suffixes,"Performance","Are there any unnecessary operations that could be removed?",,,
validations.sql,clean_numeric_suffixes,Standardizes numeric suffixes,"SQL Standards","Is the SQL formatted consistently and readably?",,,
name_field_validation.sql,create_names_clean_copy,Creates clean copy of name fields,"Naming Conventions","Are names clear, consistent, and meaningful?",,,
name_field_validation.sql,create_names_clean_copy,Creates clean copy of name fields,"Error Handling","Does the procedure have proper exception handling?",,,
name_field_validation.sql,create_names_clean_copy,Creates clean copy of name fields,"Documentation","Are there sufficient comments explaining complex logic?",,,
name_field_validation.sql,create_names_clean_copy,Creates clean copy of name fields,"Performance","Are queries optimized for performance?",,,
name_field_validation.sql,create_names_clean_copy,Creates clean copy of name fields,"SQL Standards","Are all SQL statements properly formatted and indented?",,,
name_field_validation.sql,standardize_name_case,Standardizes case in name fields,"Naming Conventions","Are names clear, consistent, and meaningful?",,,
name_field_validation.sql,standardize_name_case,Standardizes case in name fields,"Error Handling","Does the procedure have proper exception handling?",,,
name_field_validation.sql,standardize_name_case,Standardizes case in name fields,"Code Quality","Are functions used for common transformations?",,,
name_field_validation.sql,standardize_name_case,Standardizes case in name fields,"SQL Standards","Is consistent case used for SQL keywords?",,,
name_field_validation.sql,standardize_name_case,Standardizes case in name fields,"Performance","Is there efficient use of string functions?",,,
name_field_validation.sql,clean_name_patterns,Cleans name patterns,"Naming Conventions","Are names clear, consistent, and meaningful?",,,
name_field_validation.sql,clean_name_patterns,Cleans name patterns,"Error Handling","Does the procedure have proper exception handling?",,,
name_field_validation.sql,clean_name_patterns,Cleans name patterns,"SQL Standards","Are all SQL statements properly formatted and indented?",,,
name_field_validation.sql,clean_name_patterns,Cleans name patterns,"Performance","Is there efficient use of REGEXP functions?",,,
name_field_validation.sql,clean_name_patterns,Cleans name patterns,"Documentation","Are there sufficient comments for regex patterns?",,,
name_field_validation.sql,check_name_consistency,Checks for name consistency,"Naming Conventions","Are names clear, consistent, and meaningful?",,,
name_field_validation.sql,check_name_consistency,Checks for name consistency,"Error Handling","Does the procedure have proper exception handling?",,,
name_field_validation.sql,check_name_consistency,Checks for name consistency,"SQL Standards","Are conditional expressions written clearly?",,,
name_field_validation.sql,check_name_consistency,Checks for name consistency,"Documentation","Are there sufficient comments explaining the rules?",,,
name_field_validation.sql,check_name_consistency,Checks for name consistency,"Performance","Are there appropriate indexes for the queries?",,,
