column_name,data_type,nullable
ASSIGNMENT_ID,VARCHAR2,Y
EFFECTIVE_START_DATE,VARCHAR2,Y
EFFECTIVE_END_DATE,VARCHAR2,Y
BUSINESS_GROUP_ID,VARCHAR2,Y
RECRUITER_ID,VARCHAR2,Y
GRADE_ID,VARCHAR2,Y
POSITION_ID,VARCHAR2,Y
JOB_ID,VARCHAR2,Y
ASSIGNMENT_STATUS_TYPE_ID,VARCHAR2,Y
PAYROLL_ID,VARCHAR2,Y
LOCATION_ID,VARCHAR2,Y
PERSON_REFERRED_BY_ID,VARCHAR2,Y
SUPERVISOR_ID,VARCHAR2,Y
SPECIAL_CEILING_STEP_ID,VARCHAR2,Y
PERSON_ID,VARCHAR2,Y
RECRUITMENT_ACTIVITY_ID,VARCHAR2,Y
SOURCE_ORGANIZATION_ID,VARCHAR2,Y
ORGANIZATION_ID,VARCHAR2,Y
PEOPLE_GROUP_ID,VARCHAR2,Y
SOFT_CODING_KEYFLEX_ID,VARCHAR2,Y
VACANCY_ID,VARCHAR2,Y
PAY_BASIS_ID,VARCHAR2,Y
ASSIGNMENT_SEQUENCE,VARCHAR2,Y
ASSIGNMENT_TYPE,VARCHAR2,Y
PRIMARY_FLAG,VARCHAR2,Y
APPLICATION_ID,VARCHAR2,Y
ASSIGNMENT_NUMBER,VARCHAR2,Y
CHANGE_REASON,VARCHAR2,Y
COMMENT_ID,VARCHAR2,Y
DATE_PROBATION_END,VARCHAR2,Y
DEFAULT_CODE_COMB_ID,VARCHAR2,Y
EMPLOYMENT_CATEGORY,VARCHAR2,Y
FREQUENCY,VARCHAR2,Y
INTERNAL_ADDRESS_LINE,VARCHAR2,Y
MANAGER_FLAG,VARCHAR2,Y
NORMAL_HOURS,VARCHAR2,Y
PERF_REVIEW_PERIOD,VARCHAR2,Y
PERF_REVIEW_PERIOD_FREQUENCY,VARCHAR2,Y
PERIOD_OF_SERVICE_ID,VARCHAR2,Y
PROBATION_PERIOD,VARCHAR2,Y
PROBATION_UNIT,VARCHAR2,Y
SAL_REVIEW_PERIOD,VARCHAR2,Y
SAL_REVIEW_PERIOD_FREQUENCY,VARCHAR2,Y
SET_OF_BOOKS_ID,VARCHAR2,Y
SOURCE_TYPE,VARCHAR2,Y
TIME_NORMAL_FINISH,VARCHAR2,Y
TIME_NORMAL_START,VARCHAR2,Y
BARGAINING_UNIT_CODE,VARCHAR2,Y
LABOUR_UNION_MEMBER_FLAG,VARCHAR2,Y
HOURLY_SALARIED_CODE,VARCHAR2,Y
CONTRACT_ID,VARCHAR2,Y
COLLECTIVE_AGREEMENT_ID,VARCHAR2,Y
CAGR_ID_FLEX_NUM,VARCHAR2,Y
CAGR_GRADE_DEF_ID,VARCHAR2,Y
ESTABLISHMENT_ID,VARCHAR2,Y
REQUEST_ID,VARCHAR2,Y
PROGRAM_APPLICATION_ID,VARCHAR2,Y
PROGRAM_ID,VARCHAR2,Y
PROGRAM_UPDATE_DATE,VARCHAR2,Y
ASS_ATTRIBUTE_CATEGORY,VARCHAR2,Y
ASS_ATTRIBUTE1,VARCHAR2,Y
ASS_ATTRIBUTE2,VARCHAR2,Y
ASS_ATTRIBUTE3,VARCHAR2,Y
ASS_ATTRIBUTE4,VARCHAR2,Y
ASS_ATTRIBUTE5,VARCHAR2,Y
ASS_ATTRIBUTE6,VARCHAR2,Y
ASS_ATTRIBUTE7,VARCHAR2,Y
ASS_ATTRIBUTE8,VARCHAR2,Y
ASS_ATTRIBUTE9,VARCHAR2,Y
ASS_ATTRIBUTE10,VARCHAR2,Y
ASS_ATTRIBUTE11,VARCHAR2,Y
ASS_ATTRIBUTE12,VARCHAR2,Y
ASS_ATTRIBUTE13,VARCHAR2,Y
ASS_ATTRIBUTE14,VARCHAR2,Y
ASS_ATTRIBUTE15,VARCHAR2,Y
ASS_ATTRIBUTE16,VARCHAR2,Y
ASS_ATTRIBUTE17,VARCHAR2,Y
ASS_ATTRIBUTE18,VARCHAR2,Y
ASS_ATTRIBUTE19,VARCHAR2,Y
ASS_ATTRIBUTE20,VARCHAR2,Y
ASS_ATTRIBUTE21,VARCHAR2,Y
ASS_ATTRIBUTE22,VARCHAR2,Y
ASS_ATTRIBUTE23,VARCHAR2,Y
ASS_ATTRIBUTE24,VARCHAR2,Y
ASS_ATTRIBUTE25,VARCHAR2,Y
ASS_ATTRIBUTE26,VARCHAR2,Y
ASS_ATTRIBUTE27,VARCHAR2,Y
ASS_ATTRIBUTE28,VARCHAR2,Y
ASS_ATTRIBUTE29,VARCHAR2,Y
ASS_ATTRIBUTE30,VARCHAR2,Y
LAST_UPDATE_DATE,VARCHAR2,Y
LAST_UPDATED_BY,VARCHAR2,Y
LAST_UPDATE_LOGIN,VARCHAR2,Y
CREATED_BY,VARCHAR2,Y
CREATION_DATE,VARCHAR2,Y
TITLE,VARCHAR2,Y
OBJECT_VERSION_NUMBER,VARCHAR2,Y
NOTICE_PERIOD,VARCHAR2,Y
NOTICE_PERIOD_UOM,VARCHAR2,Y
EMPLOYEE_CATEGORY,VARCHAR2,Y
WORK_AT_HOME,VARCHAR2,Y
JOB_POST_SOURCE_NAME,VARCHAR2,Y
POSTING_CONTENT_ID,VARCHAR2,Y
PERIOD_OF_PLACEMENT_DATE_START,VARCHAR2,Y
VENDOR_ID,VARCHAR2,Y
VENDOR_EMPLOYEE_NUMBER,VARCHAR2,Y
VENDOR_ASSIGNMENT_NUMBER,VARCHAR2,Y
ASSIGNMENT_CATEGORY,VARCHAR2,Y
PROJECT_TITLE,VARCHAR2,Y
APPLICANT_RANK,VARCHAR2,Y
VENDOR_SITE_ID,VARCHAR2,Y
PO_HEADER_ID,VARCHAR2,Y
PO_LINE_ID,VARCHAR2,Y
PROJECTED_ASSIGNMENT_END,VARCHAR2,Y
GRADE_LADDER_PGM_ID,VARCHAR2,Y
SUPERVISOR_ASSIGNMENT_ID,VARCHAR2,Y
