column_name,data_type,nullable
ASSESSMENT_ID,VARCHAR2,Y
BUSINESS_GROUP_ID,VARCHAR2,Y
OBJECT_VERSION_NUMBER,VARCHAR2,Y
PERSON_ID,VARCHAR2,Y
ASSESSMENT_TYPE_ID,VARCHAR2,Y
GROUP_DATE,VARCHAR2,Y
GROUP_INITIATOR_ID,VARCHAR2,Y
ASSESSOR_PERSON_ID,VARCHAR2,Y
ASSESSMENT_GROUP_ID,VARCHAR2,Y
ASSESSMENT_DATE,VARCHAR2,Y
STATUS,VARCHAR2,Y
ASSESSMENT_PERIOD_START_DATE,VARCHAR2,Y
ASSESSMENT_PERIOD_END_DATE,VARCHAR2,Y
COMMENTS,VARCHAR2,Y
TOTAL_SCORE,VARCHAR2,Y
APPRAISAL_ID,VARCHAR2,Y
ATTRIBUTE_CATEGORY,VARCHAR2,Y
ATTRIBUTE1,VARCHAR2,Y
ATTRIBUTE2,VARCHAR2,Y
ATTRIBUTE3,VARCHAR2,Y
ATTRIBUTE4,VARCHAR2,Y
ATTRIBUTE5,VARCHAR2,Y
ATTRIBUTE6,VARCHAR2,Y
ATTRIBUTE7,VARCHAR2,Y
ATTRIBUTE8,VARCHAR2,Y
ATTRIBUTE9,VARCHAR2,Y
ATTRIBUTE10,VARCHAR2,Y
ATTRIBUTE11,VARCHAR2,Y
ATTRIBUTE12,VARCHAR2,Y
ATTRIBUTE13,VARCHAR2,Y
ATTRIBUTE14,VARCHAR2,Y
ATTRIBUTE15,VARCHAR2,Y
ATTRIBUTE16,VARCHAR2,Y
ATTRIBUTE17,VARCHAR2,Y
ATTRIBUTE18,VARCHAR2,Y
ATTRIBUTE19,VARCHAR2,Y
ATTRIBUTE20,VARCHAR2,Y
LAST_UPDATE_DATE,VARCHAR2,Y
LAST_UPDATED_BY,VARCHAR2,Y
LAST_UPDATE_LOGIN,VARCHAR2,Y
CREATED_BY,VARCHAR2,Y
CREATION_DATE,VARCHAR2,Y
